LAST SEEN   TYPE      REASON                    OBJECT                           MESSAGE
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-9tml4    Successfully assigned default/nginx-ha-7d744949b7-9tml4 to prod-ha-worker
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-9tml4    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-9tml4    Successfully pulled image "nginx:latest" in 1.517s (8.684s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-9tml4    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-9tml4    Started container nginx
8m10s       Warning   NodeNotReady              pod/nginx-ha-7d744949b7-9tml4    Node is not ready
3m5s        Normal    TaintManagerEviction      pod/nginx-ha-7d744949b7-9tml4    Marking for deletion Pod default/nginx-ha-7d744949b7-9tml4
77s         Warning   FailedMount               pod/nginx-ha-7d744949b7-9tml4    MountVolume.SetUp failed for volume "kube-api-access-lmkzf" : object "default"/"kube-root-ca.crt" not registered
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-9tn6q    Successfully assigned default/nginx-ha-7d744949b7-9tn6q to prod-ha-worker2
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-9tn6q    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-9tn6q    Successfully pulled image "nginx:latest" in 1.538s (3.082s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-9tn6q    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-9tn6q    Started container nginx
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-b8bj5    Successfully assigned default/nginx-ha-7d744949b7-b8bj5 to prod-ha-worker
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-b8bj5    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-b8bj5    Successfully pulled image "nginx:latest" in 1.538s (7.171s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-b8bj5    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-b8bj5    Started container nginx
8m10s       Warning   NodeNotReady              pod/nginx-ha-7d744949b7-b8bj5    Node is not ready
3m5s        Normal    TaintManagerEviction      pod/nginx-ha-7d744949b7-b8bj5    Marking for deletion Pod default/nginx-ha-7d744949b7-b8bj5
77s         Warning   FailedMount               pod/nginx-ha-7d744949b7-b8bj5    MountVolume.SetUp failed for volume "kube-api-access-57hxv" : object "default"/"kube-root-ca.crt" not registered
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-cmtrd    Successfully assigned default/nginx-ha-7d744949b7-cmtrd to prod-ha-worker
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-cmtrd    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-cmtrd    Successfully pulled image "nginx:latest" in 1.528s (14.729s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-cmtrd    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-cmtrd    Started container nginx
8m10s       Warning   NodeNotReady              pod/nginx-ha-7d744949b7-cmtrd    Node is not ready
3m5s        Normal    TaintManagerEviction      pod/nginx-ha-7d744949b7-cmtrd    Marking for deletion Pod default/nginx-ha-7d744949b7-cmtrd
77s         Warning   FailedMount               pod/nginx-ha-7d744949b7-cmtrd    MountVolume.SetUp failed for volume "kube-api-access-fvdps" : object "default"/"kube-root-ca.crt" not registered
3m5s        Normal    Scheduled                 pod/nginx-ha-7d744949b7-cq27n    Successfully assigned default/nginx-ha-7d744949b7-cq27n to prod-ha-worker2
3m4s        Normal    Pulling                   pod/nginx-ha-7d744949b7-cq27n    Pulling image "nginx:latest"
2m50s       Normal    Pulled                    pod/nginx-ha-7d744949b7-cq27n    Successfully pulled image "nginx:latest" in 1.516s (13.873s including waiting). Image size: 63120520 bytes.
2m50s       Normal    Created                   pod/nginx-ha-7d744949b7-cq27n    Created container: nginx
2m49s       Normal    Started                   pod/nginx-ha-7d744949b7-cq27n    Started container nginx
3m5s        Normal    Scheduled                 pod/nginx-ha-7d744949b7-dm65s    Successfully assigned default/nginx-ha-7d744949b7-dm65s to prod-ha-worker2
3m4s        Normal    Pulling                   pod/nginx-ha-7d744949b7-dm65s    Pulling image "nginx:latest"
2m56s       Normal    Pulled                    pod/nginx-ha-7d744949b7-dm65s    Successfully pulled image "nginx:latest" in 1.892s (7.369s including waiting). Image size: 63120520 bytes.
2m56s       Normal    Created                   pod/nginx-ha-7d744949b7-dm65s    Created container: nginx
2m56s       Normal    Started                   pod/nginx-ha-7d744949b7-dm65s    Started container nginx
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-fjwjv    Successfully assigned default/nginx-ha-7d744949b7-fjwjv to prod-ha-worker
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-fjwjv    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-fjwjv    Successfully pulled image "nginx:latest" in 1.511s (10.173s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-fjwjv    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-fjwjv    Started container nginx
8m10s       Warning   NodeNotReady              pod/nginx-ha-7d744949b7-fjwjv    Node is not ready
3m5s        Normal    TaintManagerEviction      pod/nginx-ha-7d744949b7-fjwjv    Marking for deletion Pod default/nginx-ha-7d744949b7-fjwjv
77s         Warning   FailedMount               pod/nginx-ha-7d744949b7-fjwjv    MountVolume.SetUp failed for volume "kube-api-access-clkzl" : object "default"/"kube-root-ca.crt" not registered
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-fz6bx    Successfully assigned default/nginx-ha-7d744949b7-fz6bx to prod-ha-worker
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-fz6bx    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-fz6bx    Successfully pulled image "nginx:latest" in 1.567s (5.82s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-fz6bx    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-fz6bx    Started container nginx
8m10s       Warning   NodeNotReady              pod/nginx-ha-7d744949b7-fz6bx    Node is not ready
3m5s        Normal    TaintManagerEviction      pod/nginx-ha-7d744949b7-fz6bx    Marking for deletion Pod default/nginx-ha-7d744949b7-fz6bx
77s         Warning   FailedMount               pod/nginx-ha-7d744949b7-fz6bx    MountVolume.SetUp failed for volume "kube-api-access-h8vv2" : object "default"/"kube-root-ca.crt" not registered
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-j5f9k    Successfully assigned default/nginx-ha-7d744949b7-j5f9k to prod-ha-worker2
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-j5f9k    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-j5f9k    Successfully pulled image "nginx:latest" in 1.569s (10.373s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-j5f9k    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-j5f9k    Started container nginx
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-kbwrm    Successfully assigned default/nginx-ha-7d744949b7-kbwrm to prod-ha-worker2
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-kbwrm    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-kbwrm    Successfully pulled image "nginx:latest" in 1.491s (7.423s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-kbwrm    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-kbwrm    Started container nginx
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-nxzfv    Successfully assigned default/nginx-ha-7d744949b7-nxzfv to prod-ha-worker
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-nxzfv    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-nxzfv    Successfully pulled image "nginx:latest" in 1.541s (13.208s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-nxzfv    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-nxzfv    Started container nginx
8m10s       Warning   NodeNotReady              pod/nginx-ha-7d744949b7-nxzfv    Node is not ready
3m5s        Normal    TaintManagerEviction      pod/nginx-ha-7d744949b7-nxzfv    Marking for deletion Pod default/nginx-ha-7d744949b7-nxzfv
77s         Warning   FailedMount               pod/nginx-ha-7d744949b7-nxzfv    MountVolume.SetUp failed for volume "kube-api-access-sn6n6" : object "default"/"kube-root-ca.crt" not registered
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-pdjqc    Successfully assigned default/nginx-ha-7d744949b7-pdjqc to prod-ha-worker
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-pdjqc    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-pdjqc    Successfully pulled image "nginx:latest" in 1.605s (4.39s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-pdjqc    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-pdjqc    Started container nginx
8m10s       Warning   NodeNotReady              pod/nginx-ha-7d744949b7-pdjqc    Node is not ready
3m5s        Normal    TaintManagerEviction      pod/nginx-ha-7d744949b7-pdjqc    Marking for deletion Pod default/nginx-ha-7d744949b7-pdjqc
77s         Warning   FailedMount               pod/nginx-ha-7d744949b7-pdjqc    MountVolume.SetUp failed for volume "kube-api-access-x4rnm" : object "default"/"kube-root-ca.crt" not registered
3m5s        Normal    Scheduled                 pod/nginx-ha-7d744949b7-phd9s    Successfully assigned default/nginx-ha-7d744949b7-phd9s to prod-ha-worker2
3m4s        Normal    Pulling                   pod/nginx-ha-7d744949b7-phd9s    Pulling image "nginx:latest"
